観測日,高品質ピクセル数,全ピクセル数,比率,"観測時刻(平均,時)"
2023-01-01,1833.3176470588242,3365,0.5448195087841974,11.001940864774546
2023-01-09,1972.6666666666665,3365,0.5862308073303615,10.537211184539268
2023-01-17,0.0,3365,0.0,9.911939281537059
2023-01-25,1999.3843137254908,3365,0.5941706727267432,10.634195195191666
2023-02-02,0.0,3365,0.0,10.545726495726495
2023-02-10,290.65882352941185,3365,0.08637706494187573,10.70365807106598
2023-02-18,2022.5411764705887,3365,0.601052355563325,10.996639645833174
2023-02-26,1232.196078431372,3365,0.36618011246103177,10.315806393695595
2023-03-06,66.3686274509804,3365,0.019723217667453313,10.383431681497516
2023-03-14,0.0,3365,0.0,9.9
2023-03-22,2285.235294117646,3365,0.67911895813303,10.136676661247591
2023-03-30,208.8588235294118,3365,0.06206800104885938,10.43763586045325
2023-04-07,0.0,3365,0.0,
2023-04-15,73.73333333333338,3365,0.021911837543338298,10.403734825731833
2023-04-23,1.6431372549019607,3365,0.0004883023045771058,10.15951366672744
2023-05-01,2115.674509803922,3365,0.628729423418699,10.098276764362852
2023-05-09,166.98431372549018,3365,0.049623867377560235,10.028020489247508
2023-05-17,3328.9019607843147,3365,0.9892724994901381,10.394816196734219
2023-05-25,2348.243137254902,3365,0.6978434286047258,10.30531954317679
2023-06-02,386.7098039215686,3365,0.11492118987268012,10.444072401558198
2023-06-10,10.48235294117647,3365,0.0031151123153570492,10.050159610966917
2023-06-18,0.0,3365,0.0,
2023-06-26,45.1529411764706,3365,0.013418407481863476,10.466855905119344
2023-07-04,2142.1568627450984,3365,0.6365993648573843,10.471397731859113
2023-07-12,2889.2078431372547,3365,0.8586055997436121,10.172270926385004
2023-07-20,1316.2392156862745,3365,0.39115578475075025,10.402844175527614
2023-07-28,0.0,3365,0.0,
2023-08-05,0.13725490196078433,3365,4.0788975322669934e-05,10.252196123937944
2023-08-13,0.0,3365,0.0,10.651145102323824
2023-08-21,0.0,3365,0.0,10.089411329137356
2023-08-29,723.5921568627446,3365,0.21503481630393598,10.460575058736318
2023-09-06,56.415686274509795,3365,0.016765434256912272,10.129546709428826
2023-09-14,277.5921568627452,3365,0.08249395449115755,10.382558343120317
2023-09-22,439.71372549019605,3365,0.13067272674300032,10.2252598260692
2023-10-08,9.003921568627451,3365,0.0026757567811671475,9.63825578858181
2023-10-16,2959.4156862745103,3365,0.8794697433208054,10.32789350326021
2023-10-24,453.72549019607857,3365,0.1348366984237975,10.04731469967748
2023-11-01,986.6823529411766,3365,0.2932191242024299,10.199630778674035
2023-11-09,253.9803921568627,3365,0.07547708533636335,10.135902123188576
2023-11-17,2060.729411764707,3365,0.6124010138973869,10.382593441331215
2023-11-25,675.5019607843129,3365,0.2007435247501673,10.166205350152314
2023-12-03,2859.345098039216,3365,0.8497310841126942,10.253378750303355
2023-12-11,775.0274509803925,3365,0.23032019345628305,10.115966316176687
2023-12-19,3078.9254901960794,3365,0.9149852868339018,10.252504072112226
2023-12-27,696.9058823529408,3365,0.20710427410191407,10.297409866256453
